iter	Passed	Remaining
0	6	6329
1	12	6081
2	18	5991
3	23	5905
4	29	5881
5	35	5828
6	40	5804
7	46	5767
8	52	5761
9	58	5750
10	63	5736
11	69	5741
12	75	5714
13	81	5735
14	86	5704
15	92	5677
16	98	5670
17	103	5643
18	108	5626
19	114	5589
20	119	5573
21	124	5553
22	130	5546
23	136	5552
24	142	5555
25	148	5570
26	154	5579
27	161	5590
28	166	5573
29	172	5563
30	177	5551
31	182	5521
32	186	5465
33	191	5453
34	197	5446
35	203	5436
36	208	5429
37	214	5422
38	219	5413
39	225	5412
40	230	5402
41	236	5393
42	241	5382
43	247	5369
44	252	5362
45	258	5356
46	264	5355
47	269	5346
48	275	5344
49	281	5339
50	287	5353
51	293	5347
52	298	5335
53	304	5330
54	309	5320
55	315	5316
56	320	5305
57	325	5294
58	331	5287
59	336	5277
60	342	5271
61	347	5259
62	353	5251
63	356	5214
64	361	5207
65	367	5204
66	373	5197
67	378	5194
68	384	5193
69	390	5187
70	396	5187
71	402	5192
72	407	5179
73	414	5181
74	420	5187
75	426	5187
76	432	5185
77	437	5176
78	443	5167
79	448	5162
80	454	5155
81	460	5153
82	465	5144
83	471	5137
84	476	5130
85	481	5122
86	487	5113
87	492	5109
88	498	5102
89	503	5093
90	510	5095
91	515	5087
92	520	5080
93	526	5072
94	531	5064
95	537	5061
96	542	5053
97	548	5049
98	554	5042
99	559	5033
100	564	5025
101	570	5019
102	575	5012
103	581	5006
104	586	4999
105	592	4993
106	597	4985
107	602	4979
108	608	4972
109	614	4970
110	619	4962
111	624	4953
112	628	4931
113	633	4923
114	638	4915
115	644	4909
116	649	4904
117	655	4898
118	661	4893
119	666	4888
120	671	4881
121	677	4874
122	682	4867
123	687	4858
124	693	4854
125	698	4846
126	704	4842
127	709	4835
128	715	4829
129	720	4823
130	726	4817
131	731	4811
132	737	4810
133	744	4812
134	751	4812
135	758	4819
136	764	4816
137	771	4819
138	776	4812
139	782	4806
140	787	4799
141	793	4791
142	798	4786
143	803	4778
144	809	4775
145	815	4769
146	820	4762
147	826	4757
148	831	4751
149	835	4736
150	841	4729
151	846	4722
152	851	4716
153	857	4708
154	862	4701
155	867	4693
156	873	4688
157	878	4682
158	885	4681
159	891	4680
160	897	4676
161	903	4675
162	909	4672
163	915	4667
164	920	4660
165	926	4655
166	932	4650
167	938	4647
168	943	4641
169	949	4635
170	954	4628
171	960	4622
172	966	4620
173	972	4614
174	977	4610
175	983	4606
176	989	4600
177	994	4593
178	999	4586
179	1005	4580
180	1011	4577
181	1017	4573
182	1022	4565
183	1028	4559
184	1033	4553
185	1038	4547
186	1044	4542
187	1050	4535
188	1055	4529
189	1060	4522
190	1066	4515
191	1072	4511
192	1078	4508
193	1084	4504
194	1089	4497
195	1094	4491
196	1100	4485
197	1105	4478
198	1111	4473
199	1116	4467
200	1122	4461
201	1127	4455
202	1133	4452
203	1139	4447
204	1145	4442
205	1151	4438
206	1157	4432
207	1162	4427
208	1167	4420
209	1173	4415
210	1179	4410
211	1185	4404
212	1191	4401
213	1196	4396
214	1202	4390
215	1208	4385
216	1213	4378
217	1218	4372
218	1224	4366
219	1229	4359
220	1235	4353
221	1240	4348
222	1246	4341
223	1251	4335
224	1256	4328
225	1261	4321
226	1267	4317
227	1273	4311
228	1279	4307
229	1284	4300
230	1290	4294
231	1295	4289
232	1300	4282
